site,date,species,num_call_segments
1,2023-03-23,BUECHO,0
1,2023-03-23,FEJSAK,1
1,2023-03-23,KUREIF,146
1,2023-03-23,MICKUR,93
1,2023-03-23,NIDOKI,6
1,2023-03-23,POLLEU,2
1,2023-03-23,RHIMAR,0
1,2023-03-23,ZHAOWS,108
1,2023-03-24,BUECHO,1
1,2023-03-24,FEJSAK,0
1,2023-03-24,KUREIF,149
1,2023-03-24,MICKUR,66
1,2023-03-24,NIDOKI,4
1,2023-03-24,POLLEU,0
1,2023-03-24,RHIMAR,0
1,2023-03-24,ZHAOWS,196
1,2023-03-25,BUECHO,0
1,2023-03-25,FEJSAK,3
1,2023-03-25,KUREIF,0
1,2023-03-25,MICKUR,44
1,2023-03-25,NIDOKI,0
1,2023-03-25,POLLEU,0
1,2023-03-25,RHIMAR,0
1,2023-03-25,ZHAOWS,54
1,2023-03-26,BUECHO,0
1,2023-03-26,FEJSAK,1
1,2023-03-26,KUREIF,0
1,2023-03-26,MICKUR,300
1,2023-03-26,NIDOKI,0
1,2023-03-26,POLLEU,0
1,2023-03-26,RHIMAR,0
1,2023-03-26,ZHAOWS,2
1,2023-03-27,BUECHO,0
1,2023-03-27,FEJSAK,36
1,2023-03-27,KUREIF,0
1,2023-03-27,MICKUR,300
1,2023-03-27,NIDOKI,0
1,2023-03-27,POLLEU,0
1,2023-03-27,RHIMAR,0
1,2023-03-27,ZHAOWS,107
1,2023-03-28,BUECHO,24
1,2023-03-28,FEJSAK,16
1,2023-03-28,KUREIF,9
1,2023-03-28,MICKUR,300
1,2023-03-28,NIDOKI,0
1,2023-03-28,POLLEU,0
1,2023-03-28,RHIMAR,2
1,2023-03-28,ZHAOWS,202
1,2023-03-29,BUECHO,0
1,2023-03-29,FEJSAK,22
1,2023-03-29,KUREIF,0
1,2023-03-29,MICKUR,114
1,2023-03-29,NIDOKI,3
1,2023-03-29,POLLEU,0
1,2023-03-29,RHIMAR,0
1,2023-03-29,ZHAOWS,196
1,2023-03-30,BUECHO,0
1,2023-03-30,FEJSAK,9
1,2023-03-30,KUREIF,0
